address,delegator,date,voting_power
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0xa16D...6e01,2021-03-06,5000000.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x0489...14a9,2020-11-13,392249.65
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x6bB8...30b3,2021-05-26,350000.86
0x88fb3d509fc49b515bfeb04e23f53ba339563981,colburn.eth,2020-11-13,6795.5
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x0154...6F6e,2020-11-13,5661.66
0x88fb3d509fc49b515bfeb04e23f53ba339563981,maintrust.eth,2023-01-31,400.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x2C0B...36A5,2021-03-04,350.07
0x88fb3d509fc49b515bfeb04e23f53ba339563981,martystenson.eth,2021-08-19,162.5
0x88fb3d509fc49b515bfeb04e23f53ba339563981,pinkvv.eth,2023-02-20,10.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x6C88...6749,2022-08-03,9.74
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x2fcC...D1DD,2021-05-26,1.78
0x88fb3d509fc49b515bfeb04e23f53ba339563981,estrih.eth,2020-12-15,1.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0xC5E1...0c4e,2020-11-13,1.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0xd9a3...C41d,2020-11-13,0.97
0x88fb3d509fc49b515bfeb04e23f53ba339563981,jouf81.eth,2023-04-04,0.68
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x9E64...4110,2020-11-13,0.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x813F...11C8,2020-11-13,0.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0xD196...e99a,2020-11-13,0.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0xED60...54EB,2020-11-13,0.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x17C8...d827,2020-11-14,0.0
